id,worker,scenario,paradigm,iteration,calcium_min,calcium_max,calories_min,calories_max,caloriesFromFat_min,caloriesFromFat_max,cholesterol_min,cholesterol_max,dietaryFiber_min,dietaryFiber_max,folate_min,folate_max,iron_min,iron_max,magnesium_min,magnesium_max,niacin_min,niacin_max,potassium_min,potassium_max,protein_min,protein_max,saturatedFat_min,saturatedFat_max,sodium_min,sodium_max,sugars_min,sugars_max,thiamin_min,thiamin_max,totalCarbohydrates_min,totalCarbohydrates_max,totalFat_min,totalFat_max,vitaminA_min,vitaminA_max,vitaminB6_min,vitaminB6_max,vitaminC_min,vitaminC_max,rating_min,rating_max,order1,order2,order3
42342,511,19.7431,Faceted,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5,,,,
42344,511,13.773,EnhancedMAUT,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5,,,,
42344,511,13.773,EnhancedMAUT,1,,,1500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5,,,,
42595,580,13.773,Faceted,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,
42597,580,5.4192,SortedBoolean,0,800.0,1000.0,,,,,,,,,0.32,0.4,6.4,8.0,,,,,3760.0,4700.0,36.8,46.0,,,,,,,,,,,,,,,,,72.0,90.0,,5,,,
42597,580,5.4192,SortedBoolean,1,,1000.0,,,,,,,,,,0.4,,8.0,,,,,,4700.0,,46.0,,,,,,,,,,,,,,,,,,90.0,,5,,,
42599,580,0.5668,SortedBoolean,0,,,,,,,,,,,,,,,,400.0,,19.0,,,,,,,,,,,,,,,,,,,,,,,,5,,,
42700,603,2.4722,Faceted,0,,,,,,900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42700,603,2.4722,Faceted,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,
42700,603,2.4722,Faceted,2,,,2600,2800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,
42700,603,2.4722,Faceted,3,800,1000,2600,2800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,
42700,603,2.4722,Faceted,4,800,1000,2600,2800,,,,,,,,,,,350,400,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,
42702,603,12.7895,EnhancedMAUT,0,,,,,,,,,,,0.352,,,,,,,,,,,,,,,,,,1.305,,,,,,,,1.599,,74.7,,,,,,
42702,603,12.7895,EnhancedMAUT,1,,,,,,,,,,,0.352,,,,,,,,,,,,,,,,,,1.305,,,,,,,,1.599,,74.7,,4,,,,
42702,603,12.7895,EnhancedMAUT,2,,,,,,,,,,,0.34,,,,,,,,,,,,,,,,,,1.26,,,,,,,,1.69,,72.0,,4,,,,
42704,603,5.6042,Faceted,0,,,,,,,,,,,,,,,,,,,,,60,80,,,,,,,,,,,,,,,,,,,,,,,
42704,603,5.6042,Faceted,1,,,,,,,,,,,,,,,,,,,,,60,80,,,,,,,,,,,,,,,,,100,125,,,,,
42704,603,5.6042,Faceted,2,1200,1400,,,,,,,,,,,,,,,,,,,60,80,,,,,,,,,,,,,,,,,100,125,,,,,
